"","neigh","landuse","property","size","tot","net","build_year","out","assessed_value"
"1115",0.645994832041344,0.313883299798793,"COMMERCIAL",0.00378542798932223,0.00430291316164743,0.00610244654690952,31,0.597593804756719,1613000
"1116",0.501291989664083,0.71830985915493,"URBAN",0.057970996873497,0.101535831937951,0.0440583086733631,42,0.586758241591581,23742000
"1117",0.276485788113695,0.0100603621730382,"COMMERCIAL",0.00580286224143038,0.00365201059331508,0.00614120785229025,18,0.577860960152724,1596000
"1118",0.276485788113695,0.41851106639839,"COMMERCIAL",0.0286111485510527,0.122369682846481,0.126705622473221,36,0.563917695169312,28651500
"1119",0.276485788113695,0.167002012072435,"COMMERCIAL",0.0065771463480982,0.00156514739713503,0.000892101863043388,22,0.549999714497339,2558500
"1120",0.276485788113695,0.245472837022133,"COMMERCIAL",0.0341062423157503,0.0466314549908327,0.00351574209144334,11,0.547123738931,17653000
"1121",0.276485788113695,0.0100603621730382,"COMMERCIAL",0.00297548250719029,0.00356754232108875,0.00599689909556954,33,0.545137192492078,1103500
"1122",0.276485788113695,0.241448692152918,"COMMERCIAL",0.0130996659528718,0.0511231795845155,0.113258450381361,29,0.543230355761527,15242500
"1123",0.607235142118863,0.259557344064386,"MULTI-RES",0.0116429527975498,0.0422391048350633,0.0708762805818364,12,0.343431825580265,12354000
"1124",0.607235142118863,0.0482897384305835,"COMMERCIAL",0.0212897601034958,0.0126553346682633,0.0212400366773642,6,0.341355868881347,8029500
"1125",0.193798449612403,0.313883299798793,"COMMERCIAL",0.00818285381075702,0.0103100979335086,0.016203150919018,29,0.332634023895369,4133000
"1126",0.193798449612403,0.275653923541247,"COMMERCIAL",0.00567223894569629,0.00230051823769372,0.0038719626557746,14,0.321643141061627,1599500
"1127",0.136950904392765,0.448692152917505,"MULTI-RES",0.0262134613749616,0.127939620091524,0.214919484849748,4,0.280099687572536,40739500
"1128",0.136950904392765,0.3158953722334,"COMMERCIAL",0.0544089117561155,0.0152341013321143,0.00537647647230442,4,0.275640356852456,17557000
"1129",0.335917312661499,0.3420523138833,"URBAN",0.00633102882500874,4.96872189566678e-06,1.66715291960155e-05,36,0.510393378401207,1805000
"1130",0.568475452196382,0.430583501006036,"COMMERCIAL",0.0208304848134277,0.0246448606025072,0.0616900429291877,43,0.706986497760403,8821000
"1131",0.568475452196382,0.430583501006036,"COMMERCIAL",0.026433643352259,0.0465022682215454,0.0780270912349435,36,0.70372854298017,11746000
"1132",0.219638242894057,0.313883299798793,"COMMERCIAL",0.01741698876048,0.0226374969566578,0.0376421456258075,22,0.704561367291301,9240500
"1133",0.65891472868217,0.0321931589537223,"COMMERCIAL",0.0323731535005814,0.0299365494213923,0.0375773517275872,23,0.711906608794116,9739000
"1134",0.219638242894057,0.0100603621730382,"COMMERCIAL",0.00972872040473932,0.00637983891403614,0.0107153086316842,12,0.704617371946989,2829500
"1135",0.503875968992248,0.390342052313883,"RESIDENTIAL",0.00170936859724656,0.00135149235562136,0.00183603551035719,45,0.713072894568563,636000
"1136",0.142118863049096,0.390342052313883,"RESIDENTIAL",0.00236478145236733,0.0028570150900084,0.00212403617721836,48,0.712619240795946,1119000
"1137",0.142118863049096,0.390342052313883,"RESIDENTIAL",0.00230007766885479,0.00186823943277071,0.00220814404201225,44,0.712825308661551,877500
"1138",0.142118863049096,0.390342052313883,"RESIDENTIAL",0.00219768629536313,0.0014657729592217,0.00204109531946818,50,0.713229848046239,838000
"1139",0.708010335917313,0.448692152917505,"MULTI-RES",0.00892512372808774,0.0228660581638585,0.038372441962239,43,0.713261636734573,6667000
"1140",0.431524547803618,0.448692152917505,"MULTI-RES",0.0199700190493882,0.0839266815397075,0.140861993081315,3,0.286190355018634,28867500
"1141",0.695090439276486,0.275653923541247,"COMMERCIAL",0.0381127438167565,0.0343537431866401,0.0576488809236027,12,0.700160607837035,12560000
"1142",0.142118863049096,0.390342052313883,"RESIDENTIAL",0.00188186699295745,0.00150055401249137,0.00204751385820864,50,0.70704107710993,996500
"1143",0.142118863049096,0.3420523138833,"URBAN",0.0247464820660969,0.0174749949070601,0.0195309548618347,34,0.708919708051377,8436000
"1144",0.131782945736434,0.138832997987928,"URBAN",0.0279681631449573,0,8.33576459800775e-06,25,0.70387300033615,3571000
"1145",0.131782945736434,0.140845070422535,"URBAN",0.0262958607652385,0,8.33576459800775e-06,25,0.705911574525663,6496500
"1146",0.219638242894057,0.0764587525150905,"COMMERCIAL",0,0.00416875767046443,0.00775192764556329,17,0.702859730322149,2174500
"1147",0.142118863049096,0.390342052313883,"RESIDENTIAL",0.00164115270857467,0.0012868989709777,0.0016974951027383,48,0.704382142606288,663000
"1148",0.193798449612403,0.448692152917505,"MULTI-RES",0.0116145857943397,0.0303191410073587,0.0508815071062393,39,0.335594942082297,7360500
"1149",0.521963824289406,0.390342052313883,"RESIDENTIAL",0.00160832803343157,0.000864557609846019,0.000949276872421123,55,0.700249073391984,490000
"1150",0.782945736434108,0.41851106639839,"COMMERCIAL",0.0307494802692229,0.0359884526903145,0.0474145125661651,3,0.692993276382766,18317500
"1151",0.385012919896641,0.448692152917505,"MULTI-RES",0.00839209422967336,0.0179420547652527,0.0301145834201642,38,0.753019062752445,5214500
"1152",0.131782945736434,0.140845070422535,"URBAN",0.0263282801974787,0,8.33576459800775e-06,25,0.699479040372676,6072500
"1153",0.131782945736434,0.390342052313883,"RESIDENTIAL",0.0017223363701426,0.00125708663960369,0.0017841036969116,43,0.692431225612192,513000
"1154",0.131782945736434,0.390342052313883,"RESIDENTIAL",0.00173192711884696,0.0014210544621607,0.0016104697203351,44,0.69293409572786,539500
"1155",0.617571059431525,0.390342052313883,"RESIDENTIAL",0.00192792960293193,0.0013465236337257,0.0019167257116659,27,0.425238955916066,478000
"1156",0.55297157622739,0.167002012072435,"COMMERCIAL",0.0122544643381788,0.00144589807163903,0.00243941983078398,2,0.275495250994555,2591000
"1157",0.304909560723514,0.390342052313883,"RESIDENTIAL",0.0161040017547558,0.00132664874614303,0.00173959071395824,45,0.888028228996914,846000
"1158",0.304909560723514,0.390342052313883,"RESIDENTIAL",0.0110276589898262,0.00129186769287336,0.000844663026716126,59,0.890727059182192,655500
"1159",0.304909560723514,0.390342052313883,"RESIDENTIAL",0.00801683930149416,0.000983806935342022,0.000975951319134748,40,0.891479223587514,750500
