"","neigh","size","tot","landuse","net","build_year","out","assessed_value"
"2305",0.864583333333333,0.00420127629547908,0.0224477520252889,0.228282828282828,0.0191909493987621,35,0.754820738570223,2222000
"2306",0.864583333333333,0.00398675894733089,0.020387268515556,0.228282828282828,0.0203872578179663,35,0.753786313127247,2226500
"2307",0.864583333333333,0.00941941078918374,0.0407105468600023,0.228282828282828,0.0407156447094023,37,0.752614297919056,4068500
"2308",0.864583333333333,0.0765395906245929,0.389828122400399,0.21010101010101,0.389837260410207,38,0.752970663556368,24279500
"2309",0.864583333333333,0.0260023679344249,0.140215262935613,0.21010101010101,0.132028943865433,39,0.743819066795037,9985000
"2310",0.864583333333333,0.0104222793917765,0.0413120544684336,0.228282828282828,0.0380843702540515,38,0.737514859264632,4120500
"2311",0.864583333333333,0.018052967918762,0.0582950458809527,0.228282828282828,0.0569919201317081,31,0.741692934003069,6347500
"2312",0.864583333333333,0.00577951107114074,0.0594724650293715,0.422222222222222,0.0704854180490403,25,0.732905662689608,7222000
"2313",0.213541666666667,0.056405605234113,0.0448187158452462,0.228282828282828,0.0448220326131879,32,0.690645537349746,7032000
"2314",0.213541666666667,0.00636728860506677,0.00895862395536046,0.402020202020202,0.00896041097845003,42,0.688850834795646,1752500
"2315",0.213541666666667,0.00391826662260072,0.00857468292870215,0.402020202020202,0.00783662898112561,48,0.687810215517405,1230000
"2316",0.213541666666667,0.00905565065739531,0.0211807466373165,0.402020202020202,0.0211859827146513,22,0.687165043209652,3369500
"2317",0.213541666666667,0.00827342847004067,0.0119661619975172,0.4,0.00764779408526617,53,0.686715125223638,1366500
"2318",0.864583333333333,0.0141671393837349,0.0172389520969579,0.0101010101010101,0.017240862755476,12,0.763248959472263,3634000
"2319",0.864583333333333,0.0108019750979988,0.0458681546514455,0.228282828282828,0.0458681305835474,28,0.746536813720068,5301000
"2320",0.864583333333333,0.011663415477491,0.0461881055069941,0.228282828282828,0.0461880812712117,42,0.746394577210135,4647000
"2321",0.864583333333333,0.0161161827183384,0.0649372256421414,0.228282828282828,0.064937191568337,44,0.743557299226342,6003000
"2322",0.864583333333333,0.00887468995156459,0.0176996813289479,0.276767676767677,0.0161567418453944,37,0.741767020135395,2601000
"2323",0.864583333333333,0.0137166529526237,0.0415552171186506,0.228282828282828,0.0415590347220853,48,0.738116806344155,4655000
"2324",0.864583333333333,0.0131497142468035,0.0518576346673151,0.228282828282828,0.0502043966574061,12,0.74005691475208,6738000
"2325",0.864583333333333,0.00709051852168066,0.118100259800095,0.422222222222222,0.115037028341014,37,0.73483958389297,12360500
"2326",0.864583333333333,0.0287175446552719,0.0994279278702791,0.21010101010101,0.0957521542183815,43,0.735138441225388,9915500
"2327",0.65625,0.0980786646454434,0.38291718392055,0.0323232323232323,0.37113307118963,36,0.722926659015204,16948000
"2328",0.65625,0.013358255754539,0.0438076711417126,0.228282828282828,0.043816094853144,42,0.722704727547093,4993500
"2329",0.65625,0.00787028908219932,0.0273749952007372,0.228282828282828,0.0273803560081063,41,0.720023887054616,3324000
"2330",0.65625,0.00726580984045318,0.0222685795461817,0.228282828282828,0.0222698476641827,42,0.715462968059053,2937000
"2331",0.65625,0.0104242713385807,0.0305617057220011,0.228282828282828,0.0305714161865945,45,0.713814182864951,3572000
